name,homepage,borough,michelin_category,notes,resolver_status,candidate_title,candidate_snippet,search_query
Ma•dé,http://www.ma-de-nyc.com/,,,,resolved,Ma•dé,"Warm eatery offering Indonesian fare such as soft-shell crab, lobster dumplings and seafood padang.",Ma•dé NYC restaurant official site
The Office of Mr.Moto,https://www.dearmrmoto.com/,,,,resolved,The Office of Mr. Moto,"120 St Marks Pl New York, NY 10009 hello@dearmrmoto.com 646-360-4065 Hours Mon–Sun 6pm–12am Make a Reservation Accessibility",The Office of Mr.Moto NYC restaurant official site
Superiority Burger,http://www.superiorityburger.com/,,,,resolved,Superiority Burger,"Innovative, all-vegetarian restaurant serving up popular burgers & cocktails in a historic diner location.",Superiority Burger NYC restaurant official site
Claud,https://www.claudnyc.com/,,,,resolved,"Claud | European Restaurant in New York, NY","Located in New York City's East Village, Claud is a downtown bistro by partners Chase Sinzer and Joshua Pinsky. Claud is inspired by the European style of ...",Claud NYC restaurant official site
C as in Charlie,https://www.c-asincharlie.com/,,,,resolved,HOME | C as in Charlie | Southern and Korean Tapas,"C as in Charlie is a 40-seat restaurant in NYC, serving inventive Korean-Southern small plates inspired by immigrant nostalgia. The menu reimagines classics ...",C as in Charlie NYC restaurant official site
Essential by Christophe,https://www.essentialbychristophe.com/,,,,resolved,Essential by Christophe | French Restaurant on the Upper ...,"Essential by Christophe is a Michelin-starred French restaurant on Manhattan's Upper West Side, offering refined tasting menus by Chef Christophe Bellanca.",Essential by Christophe NYC restaurant official site
Soda Club,https://soda-club.hey-restaurants.com/,,,,resolved,Soda Club - Trendy Restaurant in New York City with Unique ...,"Discover Soda Club at 95 Avenue A, New York, NY 10009. Enjoy delicious dishes and a vibrant atmosphere in the heart of NYC.",Soda Club NYC restaurant official site
Ito,https://www.ito-omakase.com/,,,,resolved,ITO Tribeca,"Ito is an omakase-style Japanese restaurant, led by Michelin Star chef Masa Ito and Kevin Kim, in partnership with VCR Group.",Ito NYC restaurant official site
Icca,https://icca.nyc/,,,,resolved,Icca - icca Japanese Restaurant 20 Warren Street New York,Our new website is now available! EXECUTIVE CHEF. EXECUTIVE CHEF. OMAKASE COUNTER. OMAKASE COUNTER. BAR. BAR. INGREDIENTS. INGREDIENTS. CRAFTS. CRAFTS. pagetop.,Icca NYC restaurant official site
Genesis House Restaurant,https://genesis-house.weeblyte.com/,,,,resolved,Genesis House - Korean restaurant in City Of New York ...,"Address: 40A 10th Ave, New York, NY 10014, United States Phone: +1 855 444 0836. Social Media. Suggest an Edit. This is not the official website. Content is ...",Genesis House Restaurant NYC restaurant official site
L'Abeille,https://www.labeille.nyc/,,,,resolved,l'abeille,l&#39;abeille · About · Reservations · Menus · Wine & Spirits · Private Events · Info & Directions · Gift Card · Press · Careers. Open Menu Close Menu. Open ...,L'Abeille NYC restaurant official site
Mari,https://marinyc.com/,,,,resolved,"Mari: Korean Restaurant, Korean Handroll","New York, NY 10036; 646-649-3545; info@marinyc.com. Opening Hours. Mon-Thur: 5:00pm – 9:30pm; Fri, Sat: 5:00pm – 10:00pm; Sun: 5:00pm – 9:30pm. Book with Us.",Mari NYC restaurant official site
Chick Chick,https://www.chickchicknyc.com/,,,,resolved,Chick Chick,"New York, NY 10024. Lunch (Fri, Sat, Sun) 11:30AM-3PM Dinner (Mon - Sat) 4:30PM-10PM Dinner (Sun) 4:30PM-9PM. Contact (212) 799-1026 chickchicknyc@gmail.com.",Chick Chick NYC restaurant official site
Sal Tang's,https://www.saltangs.com/,,,,resolved,Sal Tang's Restaurant | Cantonese American Restaurant in ...,Sal Tang's is open for dine in and takeout Wednesday-Sunday at 5PM. Book a table online through Resy or call us at (718) 986-6976. ORDER ONLINE ; Our Menus. Join ...,Sal Tang's NYC restaurant official site
6 Restaurant,https://www.6restaurant.com/,,,,resolved,"6 Restaurant - Carroll Gardens, Brooklyn | Book Your Table Now","6 is an intimate restaurant in Carroll Gardens, Brooklyn blending New American cuisine with classic European and South American flavors.",6 Restaurant NYC restaurant official site
Café Kestrel,http://kesnewyork.com/,,,,resolved,Cafe Kestrel,,Café Kestrel NYC restaurant official site
Phayul,https://phayul.weeblyte.com/,,,,resolved,Phayul - Tibetan restaurant in Jackson Heights - Website,Phayul features an enticing menu filled with signature dishes representing authentic Tibetan cuisine. Highlights include freshly made momos stuffed with ...,Phayul NYC restaurant official site
Cardamom,https://www.cardamomny.com/,,,,resolved,Cardamom Indian Cuisine | Home,"Cardamom Indian Cuisine is one of the best Indian Restaurant in Sunnyside, NY. If you are looking Indian food, then visit our restaurant.",Cardamom NYC restaurant official site
Mango Bay,https://themangobay.com/,,,,resolved,Mango Bay,"Elevated Afro-Caribbean cuisine in Fort Greene. Artfully crafted dishes, refined cocktails, and warm sophistication redefine Caribbean flavors.",Mango Bay NYC restaurant official site
Glin Thai Bistro,https://glinthaibistro.com/,,,,resolved,"Glin Thai Bistro - Brooklyn, NY","Located in the heart of Fort Greene, Brooklyn, Glin Thai Bistro is proud to be recognized by the Michelin Guide 2025. We bring together the rich culinary ...",Glin Thai Bistro NYC restaurant official site
Daphne's,https://daphnesny.com/,,,,resolved,Daphnes - Westhampton's Best Restaurant,"A cocktail bar and bistro in the heart of Westhampton Beach. Mediterranean inspired fare, creative libations and curated sounds. Plenty of vibes.",Daphne's NYC restaurant official site
Madre,https://www.madrenyc.com/,,,,resolved,Madre NYC,Lobby restaurant at Franklin Guesthouse offering elegant plates with international flavors.,Madre NYC restaurant official site
SaRanRom Thai,https://saranrom-thai.weeblyte.com/,,,,resolved,Saranrom Thai - Thai restaurant in New York State - Website,"Saranrom Thai offers a delightful escape into the world of authentic Thai cuisine, seamlessly blending traditional flavors with modern culinary techniques.",SaRanRom Thai NYC restaurant official site
Gordo's Cantina,https://gordoscantina.com/,,,,resolved,Gordo's Cantina,"140 St Nicholas Ave Brooklyn, New York 11237. Indoor Dining & Outdoor dining (weather permitting) Pick Up & Delivery Winter 2025 Hours Mon - Thurs 5:00 - 10:00",Gordo's Cantina NYC restaurant official site
Sawa,https://www.sawa.nyc/,,,,resolved,"Sawa Restaurant - Brooklyn, NY","Lebanese cuisine served in an elegant yet relaxed atmosphere in Park Slope, Brooklyn. Indulge in freshly baked pita bread alongside exquisitely elevated ...",Sawa NYC restaurant official site
Tong,https://www.hutong-nyc.com/,,,,resolved,Hutong New York | Chinese Restaurant & Dim Sum in ...,"Tucked in the heart of Midtown Manhattan, Hutong brings award-winning Northern Chinese cuisine and delicate dim sum to one of the city's most striking dining ...",Tong NYC restaurant official site
Hupo,https://hupo.nyc/,,,,resolved,Hupo | Your go-to spot in Long Island City for authentic ...,"Hupo in Long Island City, NY, serves authentic Sichuan dishes like spicy dumplings, Dan Dan noodles, savory stir-fries, fresh veggies, and hearty rice bowls ...",Hupo NYC restaurant official site
Rolo's,https://www.rolosnyc.com/,,,,resolved,Rolo's | Neighborhood Wood-Fired Bar & Grill in Ridgewood ...,"Menus · Large Groups · Hours & Info · Gift Cards · merch · info@rolosnyc.com · 853 onderdonk ave ridgewood, nyc 11385 · Reservations.",Rolo's NYC restaurant official site
Seppe Pizza Bar,https://seppepizzabar.com/,,,,resolved,Seppe Pizza Bar: Staten Island | Home,"Seppe is a fresh, modern and family-friendly take on a neighbourhood pizzeria with comfortable, classic touches and a welcoming, laid-back atmosphere.",Seppe Pizza Bar NYC restaurant official site
Hometown Bar B Que New York,https://hometownbbq.com/,,,,resolved,Hometown BBQ,"Hometown Bar-B-Que opened in Red Hook, Brooklyn, in September 2013. We specialize in authentic, pit-smoked meats prepared in the classic Southern technique.",Hometown Bar B Que New York NYC restaurant official site
Enoteca Maria,https://www.nonnasoftheworld.org/,,,,resolved,Nonnas of the World Community: Home,"Platform celebrating grandmothers' culinary heritage with community, culture, recipes, merchandise, and programming that connects generations and preserves ...",Enoteca Maria NYC restaurant official site
Lakruwana,https://www.lakruwanarestaurant.com/,,,,resolved,Lakruwana Restaurant,"668 Bay street — staten island, NY — (347) 857-6619. Youtube Reviews. Meet the Team. Lakruwana Wijesinghe. Founder. Jayantha Wijesinghe. Owner / Chef ...",Lakruwana NYC restaurant official site
il Gigante,https://www.ilgigantenyc.com/,,,,resolved,IL GIGANTE TRATTORIA,An honest trattoria in the heart of Ridgewood. Il Gigante is a love letter to the comfort foods and home style cooking that we were raised on back in central ...,il Gigante NYC restaurant official site
Rose Marie,https://www.rosemarienyc.com/,,,,resolved,"Rose Marie Bar | Bar in Brooklyn, NY","Rose Marie serves a variety of modern American dishes and an over-the-top experience from the moment you walk in. Located in Brooklyn, NY.",Rose Marie NYC restaurant official site
Hungry Thirsty,https://www.hungrythirstynyc.com/,,,,resolved,Authentic Thai Cuisine in Brooklyn - Hungry Thirsty | Hungry ...,"Hungry Thirsty brings the essence of Thailand to Brooklyn, offering home-style dishes that celebrate the rich culinary heritage of each region.",Hungry Thirsty NYC restaurant official site
Cafe Mado,https://www.cafemadonyc.com/,,,,resolved,Cafe Mado,"Discover Cafe Mado, your go-to spot near the Brooklyn Museum, Prospect Park, and the Brooklyn Botanic Garden. Enjoy fresh coffee, pastries, sandwiches, ...",Cafe Mado NYC restaurant official site
Pierozek,https://www.pierozekbrooklyn.com/,,,,resolved,Pierozek Brooklyn | Discover Authentic Flavors,Pierozek is home to the most authentic handmade Polish Pierogi in New York. Our mission is to bring the beloved delicacy to our hometown in New York.,Pierozek NYC restaurant official site
Caleta 111 Cevicheria,https://caleta-111.res-discover.com/,,,,resolved,Caleta 111: Authentic Peruvian Cuisine in Richmond Hill,"Caleta 111 is a vibrant Peruvian restaurant in Richmond Hill. Explore reviews, photos, and the menu for an unforgettable dining experience.",Caleta 111 Cevicheria NYC restaurant official site
Risbo,https://www.risbobk.com/,,,,resolved,Risbo - French Rotisserie Restaurant in Brooklyn,"Risbo is your neighborhood spot for healthy comfort food, natural wines, and good vibes. We are a Michelin-recommended fast-casual rotisserie with a full bar ...",Risbo NYC restaurant official site
Chez Ma Tante,https://chezmatantebk.com/,,,,resolved,Chez Ma Tante,"Canadian born Aidan O'Neal and native New Yorker Jake Leiber serve dishes like chips with garlicky aioli, pig's head terrine, kohlrabi and apple salad.",Chez Ma Tante NYC restaurant official site
Tong Sam Gyup Goo Yi,http://www.tongsamgyupgooyi.com/,,,,resolved,"Tong Sam Gyup Goo Yi - Korean Restaurant - Flushing, NY","Tong Sam Gyup Goo Yi Korean Restaurant. Visit Us: 162-23 Depot Rd Flushing, NY 11358. Call us : (718) 359-4583.",Tong Sam Gyup Goo Yi NYC restaurant official site
Peter Luger,https://peterluger.com/,,,,resolved,Peter Luger Steak House,"Peter Luger Steak House has been New York's top steakhouse for decades. A family-owned and operated American classic, our USDA Prime beef is hand-selected and ...",Peter Luger NYC restaurant official site
Sunday in Brooklyn,https://www.sundayinbrooklyn.com/,,,,resolved,Sunday in Brooklyn | New American Restaurant in Williamsburg,"Sunday in Brooklyn is a restaurant located in Williamsburg Brooklyn, NYC. This spot, known for brunch, features a menu of New American cuisine.",Sunday in Brooklyn NYC restaurant official site
Legend of Taste,https://www.legendoftasteny.com/,,,,resolved,Legend of Taste - Chinese Restaurant｜Online Order ...,"Welcome to Our Restaurant ... 11:30 AM - 9:00 PM. 718-423-4888 · 2002 Utopia Parkway, Whitestone, NY 11357. Powered by Menusifu. Legend of Taste all rights ...",Legend of Taste NYC restaurant official site
Miss Ada,https://www.missadanyc.com/,,,,resolved,Miss Ada Restaurant,Miss Ada is an inviting Mediterranean restaurant located in the heart of the Fort Greene neighborhood of Brooklyn led by Chef/Owner Tomer Blechman.,Miss Ada NYC restaurant official site
Mile End,https://www.mileenddeli.com/,,,,resolved,Mile End Deli,Everyday and Office Catering · Nationwide Shipping · Private Events at the Deli · Offsite Full Service Events · Upcoming Events · Gift Cards; Become a VIP,Mile End NYC restaurant official site
Casa Ora,https://www.casaoranyc.com/,,,,resolved,"Casa Ora | Upscale, Venezuelan Cuisine and Cocktail Bar in ...","Casa Ora, in Brooklyn, NY, serves refined farm to table plates and modern cocktails.",Casa Ora NYC restaurant official site
Ammazzacaffè,https://ammazzacaffe.nyc/,,,,resolved,ammazzacaffè,702 Grand st. Brooklyn · menu; eat & drink; ONLINE ORDER · gift card · see · jazz sunday · events · reservation · about · 702 Grand st.,Ammazzacaffè NYC restaurant official site
Aska,https://www.askanyc.com/,,,,resolved,Aska,Chef Fredrik Berselius brings his love of nature to his urban surroundings through food at Brooklyn's only two Michelin-starred restaurant.,Aska NYC restaurant official site
Chavela's,https://chavelasnyc.com/,,,,resolved,Chavela's: Home,"Chavela's Open 7 days a week – 11 AM to 11 PM 736 Franklin Avenue Brooklyn, NY 11238 718-622-3100",Chavela's NYC restaurant official site
Tra Di Noi,https://trattoria-tra-di-noi.findmenuworld.com/,,,,resolved,Trattoria Tra di Noi – Restaurant,"Trattoria Tra di Noi, nestled in Bronx's Arthur Avenue, embodies the essence of authentic Italian cuisine with a focus on seafood. Embracing a cozy...",Tra Di Noi NYC restaurant official site
Speedy Romeo,https://www.speedyromeo.com/,,,,resolved,"Speedy Romeo | Pizza Restaurant in Brooklyn, NY",Speedy Romeo is cooking with fire. All our dishes are prepared in a hardwood fired Italian pizza oven.,Speedy Romeo NYC restaurant official site
Untable,https://www.untablebrooklyn.com/,,,,resolved,Untable | Unconventional Thai Restaurant - Brooklyn,"Discover Untable, Brooklyn's unconventional Thai restaurant offering creative, innovative, flavor-packed dishes in a cozy, welcoming atmosphere.",Untable NYC restaurant official site
Meju,https://mejunyc.com/,,,,resolved,Meju,Meju Natural Wine Class Reservations · Reservations · HOME · MENU · ABOUT · VISIT. 5-28 49th Ave Long Island City NY 11101. Directions · meju@littlebanchanshop.,Meju NYC restaurant official site
La Vara,https://www.lavarany.com/,,,,resolved,La Vara,"Our restaurant is a celebration of Spanish cuisine, a place where the vibrant flavors of Spain come to life in the heart of Brooklyn.",La Vara NYC restaurant official site
Patricia's,https://www.patriciasofmorrispark.com/,,,,resolved,"Patricias of Morris Park | Italian cuisine | Bronx, NY, USA","Patricias of Morris Park- A unique blend of the casual and sophisticated, mixing the more sophisticated and nuanced service and cuisine of a fine Ristorante ...",Patricia's NYC restaurant official site
Casa Enrique,https://casaenriquelic.com/,,,,resolved,Casa Enrique,"Try our award winning & Michelin rated Mexican cuisine, curated by Chef Cosme Aguilar. Top off your experience with our handcrafted cocktails & desserts.",Casa Enrique NYC restaurant official site
Café Mars,http://www.cafemarsbk.com/,,,,resolved,Café Mars,,Café Mars NYC restaurant official site
Inga's Bar,https://ingasbar.restaurants-us.com/,,,,resolved,"Get Ready to Indulge at Inga's Bar | Brooklyn, NY Restaurant","Join us at Inga's Bar in Brooklyn, NY for delicious food, craft cocktails, and a welcoming atmosphere. Call (917) 909-1177 to make a reservation today!",Inga's Bar NYC restaurant official site
Al Badawi,https://www.albadawinyc.com/,,,,resolved,"Al Badawi | Middle Eastern Restaurant in Brooklyn, NY","Al Badawi is a lively restaurant in the heart of Brooklyn, NY. We use the best ingredients and provide a great atmosphere. Looking forward to hosting you ...",Al Badawi NYC restaurant official site
Francie,https://www.franciebrooklyn.com/,,,,resolved,"Francie | Destination restaurant in Brooklyn, NY","Francie is a restaurant on the corner of Broadway & Bedford in Williamsburg, Brooklyn, with the convivial feel of a neighborhood brasserie.",Francie NYC restaurant official site
Gage & Tollner,https://www.gageandtollner.com/,,,,resolved,Gage & Tollner,"Historic restaurant with retro decor, serving oysters, steaks, and chops, plus wines and cocktails.",Gage & Tollner NYC restaurant official site
Sagara,https://sagarfood.com/,,,,resolved,Sagar Restaurant NYC - Authentic Halal Bangladeshi & Desi ...,"Sagar Restaurant: NYC's premier halal Bangladeshi restaurant since 1996. Famous for Kacchi Biryani, Haji Biryani, traditional sweets & authentic South Asian ...",Sagara NYC restaurant official site
Oxomoco,https://www.oxomoconyc.com/,,,,resolved,"Oxomoco | Mexican Eatery in Brooklyn, NY","Located in the heart of Greenpoint, Brooklyn, Oxomoco offers authentic and creative Mexican cuisine and classic cocktails.",Oxomoco NYC restaurant official site
Shalom Japen,https://shalomjapannyc.com/,,,,resolved,Shalom Japan | Matzoh Ball Ramen Shark Tank - Jewish ...,Authentically inauthentic Jewish and Japanese food in South Williamsburg from chefs Aaron Israel and Sawako Okochi.,Shalom Japen NYC restaurant official site
The River Café,https://rivercafe.com/,,,,resolved,Fine Dining NYC - The River Café - American Restaurant,"The River Cafe has been, and still is, the most exclusive fine dining American restaurant on the water in NYC, since 1977.",The River Café NYC restaurant official site
Fausto,https://www.faustobrooklyn.com/,,,,resolved,Fausto,Fausto is a Brooklyn restaurant with an Italian soul ... NY— 917-909-1427. About · Menus · Events.,Fausto NYC restaurant official site
Sailor,https://www.sailor.nyc/,,,,resolved,"Sailor | Neighborhood Bistro in Fort Greene, Brooklyn NY","A new neighborhood bistro opening in Fort Greene, helmed by Chef April Bloomfield, Gabriel Stulman and their team of wonderful colleagues.",Sailor NYC restaurant official site
ILIS,https://www.ilisnyc.com/,,,,resolved,ILIS,"ILIS is a wood-fired kitchen focused on the seasonal plants, seafood, and game of North America. Our chefs cook and serve the entire meal from our central ...",ILIS NYC restaurant official site
Asian Jewels,http://asianjewelsny.com/,,,,resolved,Asian Jewels | Home,"Asian Jewels Seafood Restaurant Dim Sum, Cantonese & Seafood.",Asian Jewels NYC restaurant official site
Vert Frais,https://vert-frais.hey-restaurants.com/,,,,resolved,Vert Frais - Authentic Japanese Restaurant in Long Island City ...,"Experience exquisite Japanese cuisine at Vert Frais, located at 43-10 Crescent St, Long Island City. Fresh flavors and vibrant dining await you!",Vert Frais NYC restaurant official site
Agi's Counter,https://agis-counter.wherevi.com/,,,,resolved,Agi's Counter | Authentic Hungarian & Eastern European Eats ...,"Nestled in the heart of Brooklyn at 818 Franklin Ave, Agi's Counter is a standout Eastern European and Hungarian restaurant that effortlessly blends ...",Agi's Counter NYC restaurant official site
Jiang Nan,https://jiangnannyc.shop/,,,,resolved,Jiang Nan NYC: Experience Authentic Chinese Cuisine in the ...,"Jiang Nan NYC, nestled in the heart of New York City at 103 Bowery, invites diners to experience a culinary journey through authentic Chinese cuisine.",Jiang Nan NYC restaurant official site
LORE,https://lore-brooklyn.menu-world.com/,,,,resolved,LORE - Brooklyn: A Culinary Fusion Experience in Park Slope,"Located at 441 7th Ave, Brooklyn, NY 11215, this extraordinary restaurant redefines the boundaries of Indian cuisine, expertly blending traditional flavors ...",LORE NYC restaurant official site
Red Hook Tavern,https://red-hook-tavern.weeblyte.com/,,,,resolved,Red Hook Tavern - American restaurant in New York State ...,"Address: 329 Van Brunt St, Brooklyn, NY 11231, United States. Social Media. Suggest an Edit. This is not the official website. Content is updated by the ...",Red Hook Tavern NYC restaurant official site
Lingo,https://www.lingobk.com/,,,,resolved,"Lingo | Japanese-American Restaurant in Brooklyn, NY",Lingo offers a unique blend of Japanese American cuisine in the Greenpoint neighborhood of Brooklyn.,Lingo NYC restaurant official site
Place des Fêtes,https://place-des-fetes.goto-restaurants.com/,,,,resolved,Place Des Fêtes | Authentic Brooklyn Restaurant at 212 ...,"Place Des Fêtes offers a unique dining experience in Brooklyn, NY, combining flavorful cuisine with a warm atmosphere. Visit 212 Greene Ave for memorable ...",Place des Fêtes NYC restaurant official site
Bonnie's,https://www.bonniesbrooklyn.com/,,,,resolved,Bonnie's - Cantonese American Restaurant,"Bonnie's is a Cantonese American restaurant from Calvin Eng located in Williamsburg, Brooklyn. Check us out on Instagram @bonniesbrooklyn or shoot us an ...",Bonnie's NYC restaurant official site
Olmo,https://www.olmobk.com/,,,,resolved,OLMO,"cantina neoyorquina ; 103 Saratoga Ave BK, NY 11233. info@olmobk.com ; Hours. Wed, Thurs, Sun 5-10pm. Fri-Sat 5-11pm ; ⚡.",Olmo NYC restaurant official site
Taqueria El Chato,https://taqueria-el-chato.menu-world.com/,,,,resolved,Taqueria El Chato: Exceptional Tacos in the Heart of Brooklyn,"Discover Taqueria El Chato, your go-to taco haven at 620 Manhattan Ave. Indulge in mouthwatering, generously portioned tacos crafted from fresh, ...",Taqueria El Chato NYC restaurant official site
Haenyeo,https://haenyeobk.com/,,,,resolved,Haenyeo Restaurant,"Incorporating a bounty of fresh foods, Haenyeo's main focus is creating everyday Korean dishes that are deliciously authentic with a touch of urban influence.",Haenyeo NYC restaurant official site
?ka Ka Q?llu,https://ckakaqellue.com/,,,,resolved,"Çka Ka Qëllue - 118 E 31st St, New York, NY 10016",Çka ka Qëllu restaurant offers a modern selection of popular dishes and desserts inspired by the rich flavors of Mediterranean cuisine.,?ka Ka Q?llu NYC restaurant official site
Yemenat,https://yemenat.weeblyte.com/,,,,resolved,Yemenat - Yemeni restaurant in City of New York - Website,"Address: 7721 5th Ave, Brooklyn, NY 11209, United States Phone: +1 718 491 5600. Social Media. Suggest an Edit. This is not the official website. Content is ...",Yemenat NYC restaurant official site
Maria Restaurant,https://www.mariasonbell.com/,,,,resolved,Seafood Restaurant | Maria's Mediterranean | New York,Maria's is open for indoor and outdoor dining 7 Days a week for Lunch & Dinner free parking available in our lot located on 213 street between 38th and 39th ave ...,Maria Restaurant NYC restaurant official site
The Four Horsemen,https://the-four-horsemen.weeblyte.com/,,,,resolved,The Four Horsemen - Restaurant in City Of New York - Website,"Address: 295 Grand St, Brooklyn, NY 11211, United States Phone: +1 718 599 4900. Social Media. Suggest an Edit. This is not the official website. Content is ...",The Four Horsemen NYC restaurant official site
Sofreh,https://sofreh.weeblyte.com/,,,,resolved,Sofreh - Persian restaurant in City Of New York - Website,"Fresh ingredients take center stage at Sofreh, with dishes thoughtfully crafted to reflect traditional Persian cooking while incorporating modern techniques.",Sofreh NYC restaurant official site
Hart's,https://www.hartsbrooklyn.com/,,,,resolved,Hart's,"506 FRANKLIN AVENUE Brooklyn, NY 11238 (718) 636-6228 · ciao@hartsbrooklyn.com. PART OF THE FAMILY HART'S, CERVO'S, THE FLY, EEL BAR, MINNOW · Accessibility.",Hart's NYC restaurant official site
Dubrovnik,https://dubrovnikny.com/,,,,resolved,"Dubrovnik - New Rochelle, NY","Welcome to Dubrovnik Restaurant. We miss Croatia. We miss the smell of the sea, the fishing culture and the sounds of our mothers grilling whatever was freshly ...",Dubrovnik NYC restaurant official site
East Harbor Seafood Palace,https://eastharborseafoodpalace.us/,,,,resolved,East Harbor Seafood Palace: Home,"... NYC. Michelin Breakthrough, Tim Ho Wan brought the global, Michelin star dim sum brand to Manhattan in 2016, shifting expectations about pricing and prestige.",East Harbor Seafood Palace NYC restaurant official site
Seis Vecinos,https://www.seisvecinos.com/,,,,resolved,Seis Vecinos Restaurant | Central American & Mexican ...,Authentic Central American & Mexican Cuisine. We are Open! Indoor & Outdoor seating available. Kitchen Open for Delivery & Takeout 7 Days.,Seis Vecinos NYC restaurant official site
Taverna Kyclades,https://www.tavernakyclades.com/,,,,resolved,Taverna Kyclades,"Taverna Kyclades, in Astoria Queens, is one of the top Greek restaurants in New York City. Since we launched we have always served fresh food, made with the ...",Taverna Kyclades NYC restaurant official site
Runner & Stone,http://www.runnerandstone.com/,,,,resolved,Runner & Stone,"Runner & Stone services the Gowanus neighborhood as a wholesale & retail bakery, restaurant and bar. We bake all of our bread and pastries in house.",Runner & Stone NYC restaurant official site
Theodora,https://www.theodoranyc.com/,,,,resolved,Theodora,"Theodora is the latest restaurant from chef/owner Tomer Blechman, also of the popular Mediterranean restaurant Miss Ada in Fort Greene.",Theodora NYC restaurant official site
R40,https://www.r40lic.com/,,,,resolved,R40,R40 is an innovative Argentinian restaurant located in the heart of Long island city. We feature an open kitchen equipped with a custom parrilla.,R40 NYC restaurant official site
Win Son,https://winsonbrooklyn.com/,,,,resolved,Win Son,taiwanese-american restaurant and bakery.,Win Son NYC restaurant official site
Saint Julivert Fisherie,https://www.saintjulivertbk.com/,,,,resolved,Saint Julivert Fisherie,"A seafood haven in Brooklyn, Saint Julivert. A fisherie that blends global coastal influences, offering a distinctive experience.",Saint Julivert Fisherie NYC restaurant official site
Gus's Chop House,https://www.gusbrooklyn.com/,,,,resolved,"Gus's | Neighborhood Restaurant in Brooklyn, NY",Welcome to Gus's. A neighborhood restaurant serving honest food and wine at the heart of Brooklyn's Carroll Gardens.,Gus's Chop House NYC restaurant official site
Meadowsweet,http://www.meadowsweetnyc.com/,,,,resolved,meadowsweet - kitchen and bar - williamsburg brooklyn,Meadowsweet is a Michelin star rated american restaurant in Williamsburg Brooklyn opened in 2014 by chef and owner Polo Dobkin along with Stephanie Lempert ...,Meadowsweet NYC restaurant official site
Alta Calidad,https://altacalidadbk.com/,,,,resolved,"Alta Calidad - Brooklyn, New York's Best Mexican Restaurant",Alta Calidad is located in the Prospect Heights neighborhood of Brooklyn where Chef Akhtar Nawab is cooking innovative Mexican cuisine.,Alta Calidad NYC restaurant official site
Roberta's,https://www.robertaspizza.com/,,,,resolved,Roberta's Pizza | Neapolitan Pizza in NYC & LA,"Authentic Neapolitan-style pizza with quality ingredients. Order delivery, catering, or book a table at our NYC & LA locations. Vegan & gluten-free options.",Roberta's NYC restaurant official site
Tanoreen,http://tanoreen.com/,,,,resolved,Tanoreen Restaurant & Caterers | Best Middle Eastern ...,Toggle navigation tanoreen.com. Order Online · Menus · Specials · Daily Menu · Drinks · Desserts · Catering · Catering Menu · Catering Request Form.,Tanoreen NYC restaurant official site
Alley 41,https://alley41.restaurants-us.com/,,,,resolved,"Alley 41 | Chinese Restaurant in Flushing, NY – Reviews ...",Enjoy a diverse menu and vibrant atmosphere perfect for food lovers. This is not an official website. Content updated by the community. If you are the owner ...,Alley 41 NYC restaurant official site
Chuan Tian Xia,https://chuantianxiany.com/,,,,resolved,Chuan Tian Xia,"Chuan World Restaurant in Brooklyn, NY. Everything is prepared with high quality, rich taste and fresh food waiting for you to be served.",Chuan Tian Xia NYC restaurant official site
Enso,https://ensomakase.com/,,,,resolved,Ensō Omakase,"Multi-course Baja-Mae experience crafted with only locally and responsibly sourced ingredients, straight from Baja California and our 3 gardens.",Enso NYC restaurant official site
Shota Omakase,https://shotaomakase.com/,,,,resolved,Shota Omakase,"Shota blends traditional Edomae sushi with modern innovation, using the finest ingredients to create an unforgettable dining experience.",Shota Omakase NYC restaurant official site
Neta Shari,https://www.netashari.nyc/,,,,resolved,Neta Shari,"1718 86th Street Brooklyn, NY 11214 347-210-8438 info@netashari.nyc. Hours of Operations Wednesday - Sunday 5PM - 9PM.",Neta Shari NYC restaurant official site
Restaurant Yuu,https://restaurantyuu.restaurants-us.com/,,,,resolved,"Restaurant Yuu Menu & Reviews in Brooklyn, NY","Restaurant Yuu is a charming French restaurant located at 55 Nassau Ave #1A, Brooklyn, NY ... This is not an official website. Content updated by the community.",Restaurant Yuu NYC restaurant official site
Tobalá,https://www.tobalanyc.com/,,,,resolved,"Tobalá | Mexican Restaurant in The Bronx, New York","3732 Riverdale Avenue, Bronx, NY 10463 (347) 427-6889. Monday - Thursday: 5pm to 10pm | Friday - Saturday: 5pm to 11pm. Sunday Brunch: 1pm to 4pm | Sunday ...",Tobalá NYC restaurant official site
Mesiba,https://www.mesibabk.com/,,,,resolved,"Mesiba | Levantine Restaurant in Brooklyn, NY","Mesiba features contemporary Levantine cuisine and innovative, vibrant cocktails in an eclectic and lively design-forward atmosphere.",Mesiba NYC restaurant official site
Zaab Zaab,https://zaabzaabnyc.com/,,,,resolved,Zaab Zaab | Best Thai food in New York | Thai food near me,"Zaab Zaab: the best Thai food in New York and other locations. Order directly online today for takeout or delivery. Save money, support local business!",Zaab Zaab NYC restaurant official site
Uzuki,https://www.uzuki-ny.com/,,,,resolved,Uzuki: Main Page,"Welcome to the world of Soba Noodles at Uzuki, Greenpoint. We invite you to experience the best craftsmanship of 100% buckwheat noodles in the US.",Uzuki NYC restaurant official site
